Page	Section	Heading	Description	Final Approved Data / Web Copy
Home	Personal	Name	Essameldin Abdelhamid Salama	Essameldin Abdelhamid Salama
Home	Personal	Title	"Senior Strategic Advisor | MBA, BSc | Program Manager"	Senior Executive Advisor | Finance Leader | Transformation Practitioner
Home	Contact	Phone	+974 66205660	+974 66205660
Home	Contact	Email	essamslama@hotmail.com	essamslama@hotmail.com
Home	Contact	Location	"Doha, Qatar"	"Doha, Qatar"
Home	Contact	LinkedIn	https://www.linkedin.com/in/essameldin56/	https://www.linkedin.com/in/essameldin56/
Home	Stats	Years Multi-Market Experience	34+	35+
Home	Stats	Mega Capital Programs Managed	$10B+	US$100B+ cumulative project exposure over 20 years
Home	Stats	Member Since Institute of Internal Auditors	1996	"REPLACE THIS STATISTIC: 250+ consulting and advisory clients | 2,500+ professionals trained over 10 years"
Home	Profile	About Me	"I help organizations, leaders, and ambitious professionals solve complexity, improve performance, and achieve meaningful transformation through practical executive experience, strategic thinking, and disciplined execution."	"I help governments, infrastructure organizations, executives, and business owners turn complex financial, commercial, governance, and transformation challenges into practical, controlled, and sustainable results."
				
			"With over 34 years of multi-market experience across the Gulf and Egypt, my background includes supporting major organizations in government, infrastructure, ports, and petroleum operations—where decisions carry real operational and financial impact."	"With more than 35 years of executive and multi-market experience across Qatar, the UAE, Saudi Arabia, and Egypt, I have led finance teams, advised senior executives, supported mega projects, and helped deliver major institutional transformation across government, infrastructure, ports, marine operations, real estate development, audit, and commercial environments."
				
			"I am best engaged when the challenge is serious, complexity is high, and results matter. I am also passionate about helping middle managers break career stagnation and rise toward senior executive roles."	"My value lies in combining executive financial judgment with hands-on implementation. I bridge strategy, finance, governance, operations, data, and technology—while mentoring executives, managers, finance professionals, transformation teams, and emerging leaders so that improvements are sustained by capable people."
Experience	Education	MBA	Woolf University (In Progress)	MBA — completed April 2026; official transcript pending | Woolf University
Experience	Education	"BSc Commerce, Accounting & Economics"	Alexandria University	BSc in Commerce — Accounting & Economics | Alexandria University
Experience	Education	Professional Member	Institute of Internal Auditors (since 1996)	REMOVE THIS ITEM — Institute of Internal Auditors membership is not to be published.
Experience	Expertise	Finance Transformation & Modernization	"The transition from legacy cash-based accounting to modern, accrual-based financial frameworks is fraught with operational risk. I specialize in orchestrating these massive paradigm shifts for government and mega-corporate entities. By leading IPSAS (International Public Sector Accounting Standards) first-time adoptions, I ensure that financial transparency meets international scrutiny."	"I lead and advise complex finance-transformation programmes that connect executive priorities with governance, processes, people, data, and enabling technology. My experience includes Technical PMO leadership for Ashghal’s wider finance transformation, supporting Qatar’s pioneering government work in IPSAS-based accrual accounting, infrastructure fixed-asset registers, government costing, executive visualization, and data analytics for decision-making."
				
			- IPSAS Adoption: End-to-end management of accrual accounting transitions in public sectors.	• Public-Sector Finance Transformation: Technical PMO leadership supporting the transition from legacy cash-based reporting toward IPSAS-aligned accrual practices and stronger financial governance.
