"Category","Title","Subtitle/Details","Description/Achievements"
"Personal","Name","Essameldin Salama",""
"Personal","Role","Financial Advisor",""
"Contact","Phone","+974 6620 5660",""
"Contact","Email","esalama1974@gmail.com",""
"Contact","Location","Doha, Qatar",""
"Profile","About Me","Essameldin Salama is a distinguished Financial Advisor with over two decades of experience navigating complex financial landscapes. Specializing in strategic financial planning, corporate restructuring, and risk management, Essameldin has consistently delivered unparalleled growth and stability for enterprise clients across the Middle East.",""
"Expertise","Skill","Corporate Finance",""
"Expertise","Skill","Risk Management",""
"Expertise","Skill","Strategic Planning",""
"Expertise","Skill","Investment Analysis",""
"Experience","Financial Manager","Al Aali International Group (Jan 2012 - Present)","Spearheaded a massive financial restructuring that increased overall company profitability by 25%. Implemented robust risk management protocols that protected assets during regional market volatility. Led a team of 15 financial analysts in managing a diverse portfolio of international investments."
"Experience","Senior Financial Analyst","Qatar National Bank (QNB) (Mar 2005 - Dec 2011)","Managed a portfolio of high-net-worth clients with assets exceeding $500M. Developed predictive financial models that improved investment return accuracy by 15%."
"Experience","Risk Assessment Officer","Commercial Bank of Qatar (CBQ) (Jun 1999 - Feb 2005)","Conducted comprehensive risk assessments for commercial loans, minimizing default rates by 12%."
"Project","Enterprise Financial Restructuring (2022)","Client: Al Aali International Group","CHALLENGE: The client was facing decreasing profit margins due to inefficient resource allocation and outdated financial processes. ACTION: Conducted a top-down financial audit. Redesigned the operational budget and renegotiated vendor contracts to minimize overhead. RESULT: Increased net profit margins by 18% within the first fiscal year and reduced operational waste by $2.5M."
"Project","Market Expansion Strategy (2019)","Client: Regional Logistics Firm","CHALLENGE: The firm needed to expand into three new regional markets but lacked a sustainable financial runway and risk assessment. ACTION: Developed a comprehensive 5-year financial projection model and secured $15M in strategic venture funding. RESULT: Successful expansion into all three markets ahead of schedule, with a 30% increase in total market share."
"Project","Risk Mitigation Framework (2016)","Client: Mid-Size Manufacturing Co.","CHALLENGE: High exposure to foreign exchange volatility was severely impacting quarterly earnings. ACTION: Implemented a dynamic hedging strategy and restructured international supplier payments. RESULT: Stabilized quarterly earnings and saved the company over $1.2M in currency exchange losses annually."
"Education","Master of Business Administration (MBA)","Qatar University","2010 - 2012"
"Education","Bachelor of Science in Accounting","Cairo University","1994 - 1998"
"Education","Certified Financial Analyst (CFA)","CFA Institute","2014"
